,Date,Sales,Z-Scores
194,2019-05-03,148105.51,-0.4929358950341689
195,2019-05-31,138469.57,-0.5743530303094363
196,2019-05-04,201221.04,-0.044145814229647154
197,2019-05-05,204206.41,-0.018921469418790648
198,2019-05-06,233121.9,0.22539474268720427
199,2019-05-08,121801.98,-0.7151828227056836
200,2019-05-09,153380.43,-0.44836641087318285
201,2019-06-01,128245.28,-0.6607413226839804
202,2019-06-10,125806.54,-0.681347016003076
203,2019-06-12,106649.08,-0.8432145154219727
204,2019-06-13,131787.14,-0.6308150160915712
205,2019-06-14,184388.45,-0.18636974433538805
206,2019-06-15,347369.66,1.1907105635429052
207,2019-06-16,234031.7,0.2330819335241584
208,2019-06-17,134964.44,-0.6039689933983927
209,2019-06-19,167756.42,-0.3268990789319407
210,2019-06-02,167969.56,-0.32509819098405296
211,2019-06-20,188055.64,-0.15538448453612527
212,2019-06-21,167021.96,-0.3331047660962728
213,2019-06-22,176490.31,-0.25310365226787845
214,2019-06-23,169450.58,-0.31258457989002625
215,2019-06-24,112631.24,-0.7926693345721237
216,2019-06-26,45233.0,-1.3621385947994538
217,2019-06-27,111488.85,-0.8023217526202968
218,2019-06-28,241551.67,0.29662056231968353
219,2019-06-29,140911.04,-0.5537242703482382
220,2019-06-03,92466.82,-0.96304496070588
221,2019-06-30,259413.09,0.44753740575668766
222,2019-06-05,154609.63,-0.4379805074034269
223,2019-06-06,108292.7,-0.8293270449851358
224,2019-06-07,219750.97,0.11241948375386406
225,2019-06-08,248098.28,0.35193496153391873
226,2019-06-09,330296.76,1.04645617747978
227,2019-07-01,86857.23,-1.0104421786076923
228,2019-07-10,48785.62,-1.3321213735297468
229,2019-07-11,173825.88,-0.27561627249397785
230,2019-07-12,163173.48,-0.3656218030188937
231,2019-07-13,183312.42,-0.19546146554476107
232,2019-07-14,208784.54,0.01976061344160079
233,2019-07-15,83872.34,-1.035662467745212
234,2019-07-17,121268.43,-0.7196909570990193
235,2019-07-18,176031.82,-0.25697758074318616
236,2019-07-19,335045.64,1.086580981636511
237,2019-07-20,201014.66,-0.045889584778043065
238,2019-07-21,226789.49,0.1718901876994754
239,2019-07-22,120298.01,-0.7278903456811218
240,2019-07-24,195559.22,-0.09198434008640996
241,2019-07-25,181673.04,-0.20931311086712384
242,2019-07-26,151305.64,-0.46589697437791305
243,2019-07-27,156002.94,-0.42620798611848926
244,2019-07-28,355556.73,1.2598857333445108
245,2019-07-29,128660.09,-0.6572364604823132
246,2019-07-03,36623.36,-1.4348841935216698
247,2019-07-31,243968.04,0.3170372443626495
248,2019-07-04,194861.3,-0.09788128911798505
249,2019-07-05,255239.48,0.4122732416008079
250,2019-07-06,214393.21,0.06715005796951738
251,2019-07-07,213975.83,0.06362348101685979
252,2019-07-08,136988.62,-0.5868660499511016
253,2019-08-01,130298.67,-0.6433915746155117
254,2019-08-10,161535.45,-0.3794620417599969
256,2019-08-12,138534.01,-0.5738085561639831
257,2019-08-14,36881.88,-1.4326998754570741
258,2019-08-15,115169.52,-0.7712225959948281
259,2019-08-16,125113.49,-0.6872028168489221
260,2019-08-17,302649.12,0.8128524350403402
262,2019-08-19,119669.26,-0.7332028552862381
263,2019-08-02,177387.24,-0.24552520417226503
264,2019-08-21,88600.67,-0.9957112971032087
265,2019-08-22,177439.83,-0.2450808544623119
266,2019-08-23,168658.46,-0.31927745481393033
267,2019-08-24,312271.69,0.8941566029145415
268,2019-08-25,151330.05,-0.46569072649010274
269,2019-08-26,202354.93,-0.03456521539681178
270,2019-08-28,78108.56,-1.0843624862132473
271,2019-08-03,191082.21,-0.12981202776386808
272,2019-08-30,128600.88,-0.657736744687035
273,2019-08-31,139322.59,-0.5671455918309373
275,2019-08-05,147149.12,-0.5010167396643673
276,2019-08-07,59633.22,-1.2404665358479023
277,2019-08-08,153343.38,-0.44867945815885996
278,2019-08-09,175135.83,-0.2645480864785154
279,2019-09-01,311564.48,0.888181159705262
280,2019-09-11,246275.88,0.33653692176554667
281,2019-09-12,197930.61,-0.07194770843237153
283,2019-09-14,163749.13,-0.3607579522766509
285,2019-09-16,174012.33,-0.27404089688225003
